"","X","text","stance","sentiment","balanced_train","vader_scores","vader_rep"
"1",1,"YES! I'm still with her and always will be. https://t.co/2LWJYectzQ",1,1,0,0.5754,0.575
"2",2,"Pics or it didn't happen. https://t.co/o1GddSmwk2",1,0,0,0,0
"3",3,"I love this nasty woman. @MaribethMonroe #womensmarch #womensmarchLA https://t.co/QlCaKiz6yM",1,1,1,-0.0129,0.153
"4",4,"RT @YiawayYeh: Marching for love.  Nashville #WomensMarch https://t.co/PPEpxIM6O7",1,1,1,0.6369,0.637
"5",5,"These people are just Sad. https://t.co/0LK6iGHmHx",0,0,1,-0.4767,-0.477
"6",6,"RT @DaShanneStokes: I support the @womensmarch and encourage you to as well. Learn more: https://t.co/G9oKBjqVcH #TheResistance #resist #tr…",1,1,0,0.7964,0.796
"7",7,"RT @TheBaxterBean: Spicer: ""It was the largest audience to ever witness an #inauguration""

Reporter: ""That's a lie but have you looked out…",1,1,0,0,0
"8",8,"Laurie Penny just admitted to, up until recently, being the establishment.
https://t.co/6tvTp1B5PQ",0,0,1,0.1027,0.103
"9",9,"@realDonaldTrump here comes the Twitter tantrum .. grow the fuck up #womensmarch #fucktrump #growup #twitterinchief https://t.co/7FekICFOzd",1,0,1,-0.743,-0.743
"10",10,"RT @shannonrwatts: Honored to be included on behalf of @MomsDemand... 

#whyimarch #womensmarch https://t.co/9l0khiN14I",1,1,0,0.5859,0.586
"11",11,"Our #MondayMotivation's are all those that were a part of the #WomensMarch https://t.co/fRmkAkMWQM",1,1,1,0,0
"12",12,"RT @dougf24: Seven hours before official start time, people starting to gather on National Mall in Washington DC for #WomensMarch. High tur…",1,1,1,0,0
"13",13,"Staring at my cat because @MMFlint told me to. Tomorrow, the fight continues. #womensmarch",1,0,0,-0.3818,-0.382
"14",14,"RT @Mitch_Pittman: People continue to pour off the ferry for the Seattle #WomensMarch. https://t.co/tnhGtv8Hgr",1,1,0,0,0
"15",15,"RT @nessaphelan: @robdelaney can you please give a signal boost for a red state #WomensMarch? We are expecting big #s and need more A/V equ…",1,1,0,0.6124,0.612
"16",16,"RT @NancyRichmond: Bringing online connections into the real world #LeadersGetSocial https://t.co/11G7ZXpXbB",1,1,0,0,0
"17",17,"@letsmove @MichelleObama Please retweet and like to stop trump #notmypresident #WomensMarch #Feminist  https://t.co/gDvTG36sWv",1,0,0,0.3818,0.382
"18",18,"RT @melissagira: The @womensmarch supports sex workers' rights. That's huge. It shouldn't be. This is my explanation why. https://t.co/mQ2z…",1,1,0,0.5859,0.586
"19",19,"RT @AnasuyaIam: This THREAD....🔥🔥🔥💯
#WomensMarch https://t.co/1EuasMFZrf",1,1,0,-0.7351,0
"20",20,"RT @MacleansMag: Gloria Steinem on why the word 'feminism' is so misunderstood: https://t.co/Ae6E5EfpXv #WomensMarch",1,0,0,-0.4795,-0.401
"21",21,"Maybe there's hope that the world will turn to a better place after all #WomensMarch #3o2balna",1,1,1,0.7003,0.7
"22",22,"@piersmorgan Thanks for the opinion. Noted and ignored. You don't get to set terms for #freespeech or #WomensMarch",1,0,0,0.1531,0.153
"23",23,"She is a true leader of evil! LEADING Mentally ill foolish American women into converting 2 SHARIA where soon your UTERUS will be mutilated! https://t.co/bL37gl7wDK",0,0,1,-0.7955,-0.795
"24",24,"Another irrelevant celebrity, without a clue, leading the mindless. https://t.co/SbMbSVhLiP",0,0,1,-0.4404,-0.44
"25",25,"We made history at #womensmarch. Now it’s time to make our voices heard. First up: send a postcard to your Senators https://t.co/Q18CKutQtG",1,1,0,0,0
"26",26,"Can't wait to see her outfit https://t.co/SsCcDZWckO",1,1,0,0,0
"27",27,"Run for office! Vote in the midterms. #WomensMarch #nastywomen",1,1,0,0,0
"28",28,"RT @sarperotto: #WomensMarch #SanFrancisco can hardly move in the crowds! Chant of the day ""we need a leader, not a sleazy tweeter"" https:/…",1,1,0,0,0
